ticker,horizon,price,cost,W,L,req
7277.KL,1,2.009999990463257,0.957512440171467,1.909011356756023,1.786887951252725,0.7425528031776389
7293.KL,1,2.069999933242798,0.9430918030192547,1.5082332621479784,1.4807957447117874,0.8109280780374715
8869.KL,1,7.96999979019165,0.5854705177320906,1.2825265753870123,1.2503675406396513,0.7247985799152199
0128.KL,2,4.949999809265137,0.6620202098045044,2.2622246452982058,1.9652412154000498,0.621474309143352
0138.KL,2,0.2399999946355819,2.543333379899464,2.3308104872455946,2.7085779069412084,1.0421723582367703
0166.KL,2,2.609999895095825,0.84314177785179,2.907400227147401,2.8741996699569934,0.6429606880390571
0208.KL,2,2.549999952316284,0.852156870078234,3.241797223880371,2.658017651143508,0.5949635023433739
1023.KL,2,7.989999771118164,0.5851564491421825,1.3397837120818152,1.190120816119718,0.7017170985989402
1066.KL,2,8.3100004196167,0.5803369373651759,0.9447531373852907,0.9122399565719346,0.8037600671720597
1082.KL,2,18.979999542236328,0.5653740805182521,1.0163538320047372,0.9725634760965894,0.7732536442568333
1155.KL,2,10.579999923706056,0.6490359181873626,0.8725235695883037,0.7529748199964126,0.8625113055583906
1295.KL,2,5.0,0.66,1.2129972310541743,1.0799516982777715,0.7588270615275803
2445.KL,2,22.3799991607666,0.5493655082662431,1.3468425060187854,1.1814162727339752,0.6845746153619792
2488.KL,2,5.039999961853027,0.6584126999144532,1.3970452069460846,1.2346350247381226,0.7193304497488566
3182.KL,2,2.039999961853028,0.9501960875977923,1.7581860080420493,1.6262823013861198,0.7612653313392161
3336.KL,2,2.940000057220459,0.800136047801789,2.508771962285068,2.3467611930280263,0.6481053964972663
3816.KL,2,7.769999980926514,0.5887001290160566,1.1479850486876113,1.1563013817541115,0.7572849832022222
4065.KL,2,9.960000038146973,0.560401606041163,1.549595975511451,1.583988934632122,0.6843250150113325
4197.KL,2,2.5999999046325684,0.8446153987229934,2.082131553952644,1.9069200733646312,0.6897718378085
4677.KL,2,2.400000095367432,0.8766666501098215,3.5882179932181657,2.8975283522523,0.5819214630553591
4715.KL,2,1.6299999952316284,1.07349693431005,1.6687499859232335,1.655567609221438,0.8209397764874873
4863.KL,2,7.779999732971191,0.5885347087818085,1.1997111204383528,1.1843654943581745,0.7436422941010618
5031.KL,2,6.0,0.6266666666666667,1.2616145343220004,1.0714710621438484,0.7278505903867604
5168.KL,2,0.9549999833106996,0.983560218573669,3.444584547684863,2.9563264204720965,0.6155196750346604
5176.KL,2,2.0799999237060547,0.9407692484037419,1.421886293445975,1.3387772761441914,0.8257241301178698
5183.KL,2,4.300000190734863,0.6925581292193156,2.775328395045085,2.5702534311643643,0.6103753840949693
5211.KL,2,4.96999979019165,0.6612072519547206,2.011075885575621,1.7712112176354868,0.6431078348137874
5225.KL,2,7.989999771118164,0.5851564491421825,0.9636449693910932,0.9704812806110483,0.8043103338013783
5246.KL,2,6.869999885559082,0.6055604099938963,1.5704658872798956,1.2733163739196511,0.6606964286784078
5258.KL,2,2.119999885559082,0.931698138670551,1.3140720870292906,1.2156692731645553,0.8488485999495856
5285.KL,2,6.400000095367432,0.6162499976716936,1.3765962760459323,1.2659179297820098,0.712264071581023
5296.KL,2,1.3300000429153442,1.2118796749870864,2.4180557469962163,2.0366549364797994,0.729235822994469
5347.KL,2,13.68000030517578,0.6061988271479283,1.1010280376558748,1.0426358331759131,0.7691666043165889
5398.KL,2,4.670000076293945,0.6741327588143398,2.0190410867252226,1.797920780313814,0.6476495247372801
5681.KL,2,20.3799991607666,0.5581354309302518,1.716464341581732,1.6475082470980364,0.6556663646578402
5819.KL,2,23.8799991607666,0.5437520967457101,0.9955624317873961,0.9031330821954369,0.7620417114201014
6012.KL,2,3.569999933242798,0.7401120500558815,1.5557885282634571,1.3862274056895953,0.7227491296719156
6033.KL,2,17.6200008392334,0.5735073725732589,0.8932682897651342,0.944886493070333,0.8260424420305758
6742.KL,2,5.75,0.6339130434782609,3.304319508198806,2.700226702364502,0.55526922916794
6888.KL,2,1.7699999809265137,1.0249717575005544,2.3052678358918026,2.04202835529586,0.7054960089937011
6947.KL,2,2.7100000381469727,0.8290036848426666,1.4754671348068178,1.5616053576440916,0.7871425685191804
7084.KL,2,3.829999923706055,0.7210966109451934,1.2162764249994076,1.223094560243613,0.7970051226116053
7160.KL,2,5.090000152587891,0.6564636483343864,3.1430203643256562,2.654878026234875,0.57112792455287
7277.KL,2,2.009999990463257,0.957512440171467,2.466107110115765,2.2924511341433145,0.6829723221809193
7293.KL,2,2.069999933242798,0.9430918030192547,1.8559635032798647,1.7346700925982328,0.7457630593919274
8869.KL,2,7.96999979019165,0.5854705177320906,1.7258993824833977,1.6234117082713164,0.6595034519488814
0128.KL,3,4.949999809265137,0.6620202098045044,2.6634431777400933,2.38690662761675,0.6037060708522201
0138.KL,3,0.2399999946355819,2.543333379899464,2.7747640010905297,3.186507778360438,0.961177643000806
0166.KL,3,2.609999895095825,0.84314177785179,3.678145350043578,3.442070303084427,0.601837400676715
0208.KL,3,2.549999952316284,0.852156870078234,3.866107565054172,3.2839878010095873,0.578474056544624
1023.KL,3,7.989999771118164,0.5851564491421825,1.6188577512894333,1.4507584948058574,0.6632473836225711
1066.KL,3,8.3100004196167,0.5803369373651759,1.128000221439786,1.009475372991748,0.7437803334450411
1082.KL,3,18.979999542236328,0.5653740805182521,1.155591588100618,1.117591927687752,0.7403564193198583
1155.KL,3,10.579999923706056,0.6490359181873626,1.042515903286969,0.8676103535360941,0.7940031536166382
1295.KL,3,5.0,0.66,1.4263794115760817,1.2267879763079208,0.7111454727372866
2445.KL,3,22.3799991607666,0.5493655082662431,1.5527939696886526,1.4263521962496144,0.663182534346587
2488.KL,3,5.039999961853027,0.6584126999144532,1.640482488986995,1.4794287835314623,0.6852250903020731
3182.KL,3,2.039999961853028,0.9501960875977923,2.1695768143205454,1.9672585848005801,0.705238277795193
