Date,Close,High,Low,Volume
2022-04-11,1.9241461753845213,1.9650858428758773,1.9241461753845213,5240700
2022-04-12,1.947540521621704,1.9533883585309424,1.9241462457785652,923700
2022-04-13,1.9884796142578125,2.0118738956238102,1.947540981391938,6101100
2022-04-14,2.0060243606567383,2.011873242836918,1.9826311326692465,2067000
2022-04-15,1.9884796142578125,2.000177173256079,1.9826317759680323,611250
2022-04-18,1.9884796142578125,1.9884796142578125,1.965086378679985,1789950
2022-04-20,2.0528125762939453,2.058660621494154,1.9943277319832304,7412250
2022-04-21,2.0528125762939453,2.0820546847129724,2.0528125762939453,4970700
2022-04-22,2.029418468475342,2.046963858635701,2.029418468475342,2618100
2022-04-25,2.011873245239258,2.0294186368553517,2.0060243630520938,853800
2022-04-26,2.011873245239258,2.0645094200875387,1.9943278536231643,4033200
2022-04-27,2.011873245239258,2.035267309884949,1.9884789714360005,2792850
2022-04-28,2.029418468475342,2.041115186091366,2.011873078314982,848250
2022-04-29,2.0528125762939453,2.058660621494154,2.0177217952020485,2306850
2022-05-05,2.064509391784668,2.0879036652672074,2.0352672819829656,5727600
2022-05-06,2.0586605072021484,2.082054569122183,2.0294184004065747,5230200
2022-05-09,2.0586605072021484,2.082054569122183,2.0469637899784443,6819900
2022-05-10,2.0411152839660645,2.0762060659694423,2.035267238613953,5248800
2022-05-11,2.046963930130005,2.070357993651785,2.029418539356837,8510100
2022-05-12,2.0060243606567383,2.046964026027204,1.9943278512417757,6366900
2022-05-13,2.0762059688568115,2.216569090304967,2.0528125335972174,75972300
2022-05-17,1.9826308488845823,2.0820545112017803,1.9709332953561227,27286200
2022-05-18,2.0235700607299805,2.0352676177159794,1.9884792721903668,14426100
2022-05-19,2.0001766681671143,2.0235698978376324,1.9767826018662715,16431450
2022-05-20,2.011873245239258,2.035267309884949,1.9884789714360005,19893900
2022-05-23,2.0001766681671143,2.0001766681671143,1.9767826018662715,14670900
2022-05-24,2.0060243606567383,2.0352673074546748,1.9826311326692465,22147050
2022-05-25,2.0060243606567383,2.0352673074546748,2.000176524264389,23930700
2022-05-26,2.0001766681671143,2.011873387581164,1.9709337192652931,17508900
2022-05-27,2.0001766681671143,2.011873387581164,1.9767826018662715,15022050
2022-05-30,1.9884796142578125,2.0060250115458595,1.9709342169697652,26144250
2022-05-31,1.900752305984497,2.0001768345885584,1.900752305984497,194137800
2022-06-01,1.883206367492676,1.9299946996248545,1.871509650485323,27547200
2022-06-02,1.8814492225646973,1.9048934203422292,1.8755875966837825,10149600
2022-06-03,1.904893159866333,1.910754575332471,1.863865138122667,12504450
2022-06-07,1.904893159866333,1.9283381928911183,1.8873095423076856,9039750
2022-06-08,1.8814492225646973,1.91075483660986,1.8814492225646973,3635400
2022-06-09,1.8990325927734373,1.8990325927734373,1.834558699215163,7055400
2022-06-10,1.8755877017974851,1.893171322745964,1.84628187649665,11120250
2022-06-13,1.8052531480789185,1.840420388613709,1.787669527811523,7733850
2022-06-14,1.8286986351013184,1.840420841886662,1.7818083406665663,3810600
2022-06-15,1.775947332382202,1.8286981934359412,1.7700859159851643,8309550
